##########################################################################################################################################################
# msr/original/MSRvid.train.txt - 750
##########################################################################################################################################################
a man is eating a bowl of cereal.	the man is eating cereal.	y
a girl is coming up on a car.	a girl jumps on top of a car.	y
a woman is bathing into bath-tub.	a woman is taking a bath.	y
a motorcyclist crashes on his motorcycle.	a person crashes on a motorcycle.	y
a man is dangling a mouse near a snake.	a man is feeding a mice to a snake.	y
a man and a woman are walking in the woods.	a man and woman are walking through the jungle.	y
a person pours some rice pudding into a bowl.	the lady poured the rice pudding into a bowl.	y
a man stares out a window.	a man looks out the window.	y
a woman is firing a rifle.	a woman is cutting a lemon.	n
a man is eating a banana.	someone is peeling a banana.	n
the men are performing on stage.	the comedic mimes performed on stage.	y
a cartoon woman dives into a pool.	a cartoon woman is diving off a board.	y
the lady put the baby int a trashcan.	a woman puts a baby in a trash can.	y
someone is frying meat.	someone is playing paino.	n
a man is rapidly chopping some mushrooms using a knife.	a person is quickly chopping mushrooms with a knife.	y
a woman is adding ingredients to a bowl.	a woman is cracking three eggs into a bowl.	n
a skateboarder does tricks on a half-pipe.	a man skateboards on a half pipe.	y
a man is speaking on a stage.	a man is speaking at a podium.	y
a man is playing a guitar.	a man in a hat is playing a harp.	n
a man is playing on his keyboard.	a man is playing a guitar.	n
a person is cutting a potato.	a person is slicing a shallot.	n
a man is playing drums.	a man is playing his guitar.	n
a man is dancing on the ceiling of a room.	a man is dancing upside-down on the ceiling.	y
two men are dancing.	two women are shopping.	n
someone is seasoning eggs.	someone is seasoning two raw eggs in a bowl.	y
a woman is peeling an onion.	the woman is slicing green onions.	y
a person is mixing a pot of rice.	a person is peeling a potato.	n
a man is swinging in a rope.	a gibbon is swinging in the trees.	n
someone is slicing a onion.	someone is carrying a fish.	n
a man is cutting tomatoes.	a woman is cutting broccoli.	n
a woman is boiling shrimp.	a woman is combing her hair.	n
a man cuts a potato.	a man is slicing a potato.	y
a man is dancing on the road.	a man is dancing.	y
the deer jumped over the fence.	a deer jumps over a cyclone fence.	y
a girl dances in the rain.	a woman is dancing in the rain.	y
a woman is writing a letter.	a woman is sitting at a desk.	n
a gorilla is playing the drums.	a monkey is playing drums.	y
a man is playing a guitar.	the girl is playing the guitar.	n
a woman is riding on a horse.	a woman is picking tomatoes.	n
a lion cub tries to climb a fence.	a lion tries to climb over a wall.	y
a man is talking on a cell phone.	a guy is talking into a microphone.	n
a man is playing a guitar.	a man is cleaning a cd.	n
the boy cut the grass by the curb with scissors.	a boy cuts grass with scissors.	y
a woman is dicing some peeled potatoes cut into thick strips.	a woman is chopping a peeled potato into slices.	y
a man with glasses is talking.	a man in a library is talking.	y
a little girl peddling a scooter.	a girl is riding a scooter.	y
a woman is cutting some flowers.	a woman is cutting broccoli.	n
a person is walking down a stone path.	a man is walking down a sidewalk.	y
someone is pouring chicken broth into a pot.	the man is pouring broth into the pot.	y
a man plays the keyboard with his nose.	the man is playing the piano with his nose.	y
a man is playing guitar.	a cat is playing.	n
a animal is eating.	the animal is hopping.	n
a man is lifting weights.	a man is lifting a barbell.	y
a man is running with a bus.	a man runs with a truck.	n
a man is climbing a rope.	a man is sitting on a rock.	n
a cat is playing the piano.	a cat is licking its paw.	n
a woman is dancing in the rain.	a woman is adding oil to a dish.	n
a cat cleans itself.	a cat is licking itself.	y
a man is kicking a soccer ball.	a man is performing tricks with a soccer ball.	y
men are running a race.	racers are running down a track.	y
a woman opens a window.	a woman is looking out a window.	n
a man is cutting tomatoes into pieces.	a woman is cutting potatoes.	n
a man is playing a flute.	a woman is applying eye liner.	n
a woman is cutting potatoes.	a woman is slicing carrots.	n
three men are doing same dance in the street.	three shirtless men are dancing in the street.	y
a chicken is pecking at a dead mouse.	a rooster pecks at a dead mouse.	y
a woman is chopping an onion.	a woman is chopping garlic with a knife.	n
the woman is thinly slicing a cucumber.	the woman is slicing a tomato.	n
a person is slicing a bread pieces.	a man is slicing bread.	y
a woman is cutting a squash.	a woman is cutting big pepper.	n
a woman is adding oil on fishes.	a woman is riding a horse.	n
a woman is grating carrots.	a woman is coating a pork chop.	n
someone is cleaning a animal.	a woman is cleaning a shrimp.	y
the man is playing the guitar.	the man is peeling a potato.	n
a man is talking on the phone.	a man is talking.	y
a woman is smoking.	a woman is making some food.	n
a man laying down and shooting a gun	a man is laying on the ground shooting a rifle.	y
a man is being put into an abulance.	a man is pouring pasta onto a plate.	n
a man is diving into a swimming pool.	a man is singing into a microphone.	n
a man is firing a shot gun.	a man shoots a shotgun.	y
the man is shaking hands with other men.	a man is shaking another mans hand.	y
a target is being hit with gun fire.	the target was being shot with bullets.	y
a man playing the guitar.	a man is playing a flute.	n
a man is peeling potato.	a man is playing a guitar.	n
the woman is riding a horse.	a man is riding a horse in an arena.	n
an airplane moves along a runway.	a plane is landing on a runway.	y
a woman is slipping in the water-tub.	a woman is lying in a raft.	n
a man is mowing a lawn.	a man is mixing.	n
a man is dancing.	a woman is exercising.	n
a woman is exercising.	a man is dancing.	n
a woman is peeling a potato.	a woman is hitting a man.	n
a man is playing piano.	a man is laying on the ground.	n
a woman is doing ballet.	a woman is riding on a horse.	n
a woman is applying makeup.	a man is playing a guitar.	n
a woman is cutting an onion.	a woman is rowing a boat.	n
a woman is slicing a big pepper.	a person is cutting a green pepper.	y
a woman is stirring rice in a pot.	someone is putting rice in a pan.	y
a boy is playing the violin onstage.	a boy is playing an instrument.	y
the woman is measuring the other woman.	the lady measured the other woman's ankle.	y
a man puts some cheese on a pizza.	a man is sprinkling shredded cheese on a pizza.	y
a woman puts slabs of meat in a pan.	a man puts pieces of meat into a plastic bag.	n
the boy played his trumpet.	a boy is playing the trumpet.	y
a person is riding a horse.	a man is riding a motorcycle.	n
a man is staring at a leaf.	a man is slicing a vegetable.	n
a woman is slicing an onion.	a woman is cutting a carrot.	n
a man is slicing vegetables.	a woman is slicing a potato.	n
a cat is playing.	a woman is playing flute.	n
a man is riding a bicycle.	a man is riding a bicycle around a parking lot.	y
a band is performing on a stage.	a band is playing and singing on a stage.	y
a person is picking a komodo dragon and putting it in a box.	a person is placing a baby komodo dragon into a container.	y
the woman is slicing fish cake.	the woman is riding a horse.	n
a man is eating bread.	a man is playing flute.	n
a woman is cooking shrimp.	a woman is dancing.	n
a woman is dancing.	a woman is slicing ginger.	n
a woman tosses a cat in the air, and the cat hangs off a rod on the ceiling.	a person throws a cat in the air and it grabs onto the ceiling.	y
a person drops a camera down an escelator.	a man tosses a bag down an escalator.	y
a big turtle is walking.	the tortoise is walking.	y
a man is doing exercise.	a man is firing a rifle.	n
a man is burning a flag.	a man is shooting a gun.	n
the man is pushing the van.	the woman is singing.	n
a man is eating wood.	a man is adding oil to car.	n
a dog is speaking to the camera.	a dog is eating some water melon.	n
a man is putting two paper towels on a paper plate.	a man is putting papers on a dish.	n
a man and woman are walking.	a man and woman walking hold each other.	y
a man is cutting a rope with a sword.	the man slced through a thick rope with a sword.	y
the man is singing and playing the guitar.	a man is playing a guitar.	y
a dog is playing with a toy.	a dog is eating a doll.	n
a man is cutting a paper.	a person is tearing paper.	y
a man is playing a piano.	a guy is peeling a potato.	n
a man is dancing.	a rat is running.	n
two boys are talking on the phone.	a woman is talking on a telephone.	n
a man is playing guitar.	a woman is peeling a tuber.	n
a woman is slicing an onion.	a women slicing lemons.	n
a woman is riding a horse.	a man is running on rope.	n
a man is playing soccer.	a man is drawing some figures.	n
a woman is peeling an orange.	a man is playing a flute.	n
a man is bowling.	a kitten is walking.	n
someone is cracking an egg open.	a man is breaking an egg.	y
a man is cutting a snake to cook.	a woman is cutting meat.	n
the man is playing the keyboards.	a man is playing guitar.	n
a woman is applying eye shadow.	a woman is washing a bowl.	n
a woman is scraping a carrot.	a man is striking clay pots.	n
a woman is playing the flute.	a man is playing a keyboard.	n
a man is riding on a horse.	a woman is riding an elephant.	n
a man and woman are bollywood dancing.	a man an woman are dancing in the rain.	n
a woman is cutting flowers.	a man is holding huge sunflowers.	n
a woman is dancing near a fire.	a woman is cutting a tomatoe.	n
the man danced in the diner.	the bomb exploded in the desert.	n
a man is playing flute.	a man is dancing.	n
american flag is waving.	a american flag is blowing in the wind.	y
a lion is walking in an enclosed area.	a lion is walking around.	y
a tiger is walking around his cage.	a tiger walks around aimlessly.	y
a person pours cooking oil into a pot.	a person is pouring olive oil into a pot on the stove.	y
a woman is cutting potato.	a woman is riding a horse.	n
a woman is slicing a lemon.	a man is showing a bread.	n
a man is making a bed.	a man is speaking to an audience.	n
a parrot is talking.	a parrot is talking into a microphone.	y
a woman is playing the flute.	a woman is slicing some tuna.	n
a person is riding a motorcyle.	a person is chopping an onion.	n
a man is singing into a microphone.	a man is dancing in the rain.	n
a man pours rice into a pot.	a man is putting rice in a bowling pot.	y
the dog is barking at the toy.	a dog is barking at an electronic toy duck.	y
a woman is adding an egg and stirring.	a woman is mixing an egg in a bowl.	y
a woman covers a piece of meat with flour.	a woman is seasoning a piece of meat.	y
a person is slicing some garlic.	a person is dicing a clove of garlic with a knife.	y
a white cat perched on a small wooden cabinet is looking outside the window.	a cat, perched on a table, looks out the window.	y
a woman is exercising.	a woman lifts weights.	y
a man does floor exercises.	a man is exercising.	y
a child runs into and out of the ocean waves.	a young boy is running toward and from the ocean waves.	y
a man is slicing a potatoe.	a man is peeling a banana.	n
a man is playing the piano.	a man is playing a wooden flute.	n
a guy is riding a horse.	a man is riding a horse in the desert.	y
someone is playing piano.	a person is playing a keyboard piano.	y
the woman is putting makeup on the man.	a woman is painting the face of a man.	y
the woman droppped eggplant into the pan.	a woman puts chopped eggplant into a skillet.	y
a dog is stealing food from a refrigerator.	the dog took something out of the refrigerator.	y
a man plays a trumpet.	a man is playing a musical instrument.	y
a person uses a blowtorch on two cameras.	a person is burning cameras.	n
a woman is slicing a lemon.	a woman, in a kitchen, peels a lemon.	y
a tiger trys to climb the wall.	a lion is trying to climb up over a wall.	y
a man is preparing a hanging rope.	a man is tying a noose.	y
a woman dances on a stage.	a woman is dancing.	y
a woman is slicing ginger.	a woman is cutting potatoes.	n
men are playing soccer.	two teams play soccer.	y
the girl is riding the horse.	the girl is spraying the plants with water.	n
a man is putting a knife in a vice.	a man is getting into a car in a garage.	n
a person is frying.	a person is peeling a potato.	n
a man is shooting a pistol.	a woman is chopping garlic.	n
a woman is swinging her arms.	a woman is slicing an onion.	n
a man is walking outside.	a man is dancing.	n
a woman is cooking meat.	a man is speaking.	n
a man dries his hands.	a woman fixes her hair.	n
a soccer player is kicking the soccer ball into the goal from a long way down the field.	a soccer player kicks the ball into the goal.	y
a person is scrubbing a zucchini.	a woman is scrubbing a zucchini with a vegetable brush.	y
a puppy is trying to come out from the sink.	the puppy tried to get out of the tub.	y
a girl is playing the piano.	a little girl is playing a grand piano on stage.	y
a man is drawing some figures.	a man is drawing on a digital dry erase board.	y
the monkey is hanging from the trees.	the monkey swung from branch to branch.	n
some children are jumping on trampoline.	two boy are playing on a trampoline.	y
a person is folding a square paper piece.	a person folds a piece of paper.	y
a woman with a knife is slicing a pepper.	a women slicing green pepper.	y
a panda bear is chewing on a stick.	a baby panda plays with a stick.	y
a man is adding oil to car.	a man is putting anti-freeze into a car.	n
the people are lifting bags.	several people are carrying large bags.	y
the boy is playing the piano.	the woman is pouring oil into the pan.	n
a man is talking on the phone.	a man is moon-walking across a store.	n
a man is slicing a carrot by a machine.	a man is climbing a rope.	n
a boy played a keyboard.	a person is playing a piano keyboard.	y
a cat is playing with an antenna.	a boy is playing in the mud.	n
a woman is slicing pumpkin.	a person is slicing cantaloupe.	n
a woman is braiding her hair.	a man is riding a motorcycle.	n
a man is cutting a potato.	a woman is climbing a rock wall.	n
a woman is feeding a baby.	a man is adding water to pan.	n
a man is playing a guitar.	a woman is riding a horse.	n
the people threw the dummy over the cliff edge.	some people are throwing a dummy off a cliff.	y
a gun is being fired.	a potato is being peeled.	n
a woman is mixing eggs.	the woman is eating.	n
a woman is cutting a plastic sheet.	a woman is playing a guitar on streets.	n
a woman cuts a pineapple.	a woman is slicing a pineapple into pieces.	y
a woman is adding spices on a meat.	a woman adds ingredients to beef.	y
a person is adding oil in the pan.	the cook pouring oil into the pan.	y
a cook seasons some dough.	a man is seasoning some dough in a pan.	y
a boy is running on a beach.	two boys are playing in the beach.	y
a baby monkey scratches itself.	the monkey scratched his tummy.	y
the man is throwing knives at a tree.	a man is throwing blades into a close target outside.	y
a boy is riding a bike on a gate.	a woman is riding a horse.	n
the woman is slicing tofu.	the woman is putting on lipstick.	n
a man is riding on a boat.	a man is tying in the machine.	n
a woman is folding paper.	a woman is applying eye shadow.	n
someone is folding a piece of paper.	a person is slicing a small pieces of ginger.	n
a man is doing a card trick.	a man is squeezing water.	n
a man is playing the piano.	someone is playing guitar.	n
a man is lifting weights.	a man is chopping egg plant.	n
a man is mowing grass.	a guy is mowing the lawn.	y
a person is mixing water and flour.	a person is hitchhiking on a road.	n
the two dogs were in the pen.	the cowboy rode his horse in the desert.	n
a man is riding on one wheel on a motorcycle.	a person is performing tricks on a motorcycle.	y
a man is serving cake.	a man seasoning quail.	n
a cat opens a drawer and climbs inside.	a big cat opens a plastic drawer with his paws and then hops inside.	y
someone is greating a carrot.	a woman is grating an orange food.	n
a man is opening a box using a knife.	a man is playing a guitar.	n
a man is kicking oots of water.	a woman is slicing a red pepper.	n
a man is eating.	a woman is rock climbing.	n
a puppy is repeatedly rolling from side to side while on its back.	a dog is rolling from side to side.	y
a young boy sings and plays a guitar.	a kid plays the guitar.	y
the woman is peeling lemon.	the man is balancing on the wire.	n
a man is playing the trumpet.	someone is playing with a toad.	n
a man is standing on a roof top playing a violin.	a man is on a roof dancing.	n
a dog is looking around	a dog is watching a store counter.	n
a woman is slicing an onion.	a man is shown slicing a carrot with a knife.	n
the man drilled holes into the wood.	a man drills wood.	y
someone is cutting a circle out of a pink sheet of paper.	someone is pouring tomato sauce into a pot of meat.	n
a man is playing flute.	a man is petting a tied up dog.	n
a man is placing meat in a bag.	a man is drivong a car.	n
a girl is eating a cupcake.	a man is playing a trumpet.	n
a rabbit is sniffing and pawing a stuffed rabbit.	a live rabbit is playing with a stuffed animal bunny.	y
a man is buttering bread.	a woman is ridint a horse.	n
a monkey is karate kicking a person.	a monkey pratices martial arts.	n
a woman is squeezing some cucumber slices.	a woman is getting doused in green slime.	n
a man is taking out the insides of a green pepper.	someone is removing the seeds from a bell pepper.	y
a man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.	the man took a piece of pepperoni pizza out of the box.	y
the man added vegetables to the broth in the pot.	a man is adding sliced vegetables to a cooking bowl with water.	y
the man ran and jumped against the wall.	a man jumps into a wall.	y
a man is playing a cello.	a man is rapidly lifting small weights.	n
the man is talking.	a man is walking down stairs.	n
a man tries to feed a mouse to a snake.	a man is teasing a snake with a mouse.	y
the man is seasoning the sausages.	the man added seasoning to water in a bowl.	n
a clown is singing and people are dancing.	a clown is singing.	y
a woman is feeding an aardvark.	a woman is chopping up garlic.	n
a man shappens a knife.	a man carries a women.	n
a person is rinsing a steak off with water.	a man is rinsing a large steak.	y
a boy rode his bike on top of a metal fence.	a bmx biker rides along the top of a fence.	y
a man is throwing knives at a tree.	a man is showing magic.	n
a man is playing the drums.	a woman is slicing some leaves.	n
a woman is brushing her feet.	a woman is chopping an onion.	n
a man is playing a ukulele.	a man is sitting and playing a small guitar.	n
girls are walking on the stage.	women models are walking down a catwalk.	y
a woman is doing weight exercises.	a woman is exercising with a barbell.	y
a man is peeling a potato.	a man is hiking.	n
a large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.	a bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.	y
a woman is in the rain.	a car is driving along the road.	n
a woman is hitting a man.	a man is holding a slow loris.	n
a woman is riding an elephant.	a man is lifting himself.	n
a man is lifting weights.	a woman is exercising her abs.	n
a person is riding a jetski in the waves.	a woman is riding a seadoo.	n
a woman is removing skin from some meat.	a woman is slicing a tomato.	n
